a_1_student_id,a_2_gender,a_3_class_group,average_course_evaluation_rating,sentiment,text,clean_text,dominant_topic,topic_label,topic_probability
14,Male,Group A,3.3636,negative,"In my opinion,iI think we should be diving more on real word topics in time series forecasting,for example explaining the financial market(This is for BI 2) Automation As there is a shift in the tech world with AI,in my opinion we should be taught jow to maximisze our skills using AI In my opinion, Relational databases I like that everything tested was covered,i liked the fact that we were challenged to do better and to push ourskeves More engagements, not just completing the labs And the university's machines were crashing sometimes on heavy labs on data engineering",opinion think diving real word topic time series forecasting example explaining financial market automation shift tech world opinion taught jow maximisze skill using opinion relational database like everything tested covered liked fact challenged better push ourskeves engagement completing lab university machine crashing sometimes heavy lab data engineering,3,"Topic 4: topic, lab, data, practical",0.9330449729682693
15,Male,Group A,3.2727,negative,A project with a real business scenario through all modules The merging between practical and theoretical knowledge A project with a real business scenario through out the modules to help understand business intelligence real life activities,project real business scenario module merging practical theoretical knowledge project real business scenario module help understand business intelligence real life activity,3,"Topic 4: topic, lab, data, practical",0.9087562372228669
16,Female,Group A,3.8182,negative,Not sure The content delivery and overall flow of content Reducing the number of lab submissions made throughout the semester,sure content delivery overall flow content reducing number lab submission made throughout semester,1,"Topic 2: content, slide, work, group",0.9187667203784853
17,Male,Group B,3.4545,negative,"Very Practical Business Intelligence as a major should be selected in 3rd year, allowing 2 years of learning. At some point the depth of the topics and the fast moving nature of a semester made this feel like a crash course. Most of the interest points can be explored after the course, however if the 8 topics were spread all through allowing us to fully immerse ourselves into the content, we would be industry ready by the end of our 4th year - positioning us strategically.",practical business intelligence major selected year allowing year learning point depth topic fast moving nature semester made feel like crash course interest point explored course however topic spread allowing fully immerse content would industry ready end year positioning strategically,3,"Topic 4: topic, lab, data, practical",0.9571306628923316
18,Male,Group A,4.5455,neutral,"I do not have a topic to suggest or add upon the already existing ones None, I believe all topics are required in the curriculum I like how the labs help with the practical knowledge of the concepts. I also like how there are explanation videos in the slides I would like more analogies used when teaching.",topic suggest add upon already existing one none believe topic required curriculum like lab help practical knowledge concept also like explanation video slide would like analogy used teaching,3,"Topic 4: topic, lab, data, practical",0.9546250395299662
19,Male,Group A,4.7273,positive,I liked the practical approach to the modules using the labs and also enjoyed the effort put in to show real world applications of concepts learnt in class Reduced number of slides,liked practical approach module using lab also enjoyed effort put show real world application concept learnt class reduced number slide,3,"Topic 4: topic, lab, data, practical",0.948678166293518
20,Female,Group A,4.2727,neutral,Big Data Fundamentals and analyics I liked the practical examples that were used to understand theory work The lecturer clarified parts that were not easily understood at first Students should set clear concise goals at the beginning of the semester about what they expect to learn from the course.,big data fundamental analyics liked practical example used understand theory work lecturer clarified part easily understood first student set clear concise goal beginning semester expect learn course,3,"Topic 4: topic, lab, data, practical",0.7899256568368815
21,Female,Group A,4.9091,positive,The mathematics included in BI2 especially in time series forecasting The method of explaining concepts No recommendations,mathematics included especially time series forecasting method explaining concept recommendation,4,"Topic 5: lab, module, work, depth",0.676477813481622
22,Male,Group A,3.7273,negative,1.How practical the module was 2.The group work helped me improve my collaboration skills,practical module group work helped improve collaboration skill,1,"Topic 2: content, slide, work, group",0.8979991813401573
23,Male,Group A,4.2727,neutral,"Generative AI/Adversarial networks (GANs), Computer Vision, and more emphasis on Neural Networks Clustering and Association Rule Mining 1. The topics were developed very clearly and logically, and technical concepts were explained very clearly; making it so that my understanding was enriched throughout. 2. The assignments (particularly the labs) were very insightful, and clearly outlined such that I could follow along and learn concepts that were initially very abstract in the theory classes. There are many assignments that appear to be addressing the same areas within each topic. The reflective journal for example may be integrated elsewhere to avoid duplicate responses derived from other assignments, such as the labs.",generative adversarial network gans computer vision emphasis neural network clustering association rule mining topic developed clearly logically technical concept explained clearly making understanding enriched throughout assignment particularly lab insightful clearly outlined could follow along learn concept initially abstract theory class many assignment appear addressing area within topic reflective journal example may integrated elsewhere avoid duplicate response derived assignment lab,0,"Topic 1: lab, taught, assignment, concept",0.7215517590957746
24,Male,Group A,4.2727,neutral,"none because the topics that were covered met my expectations and it was well outlined by the course outline and the lecturer none i liked learning data analytics and visualizations, clustering and association rule mapping, also the practical implementation of these two modules. i also liked dashboarding and customer facing analytics to reduce the number of slides, they are very many. some modules like regression had 300 slides which is a lot to read and master all the content in it",none topic covered met expectation well outlined course outline lecturer none liked learning data analytics visualization clustering association rule mapping also practical implementation two module also liked dashboarding customer facing analytics reduce number slide many module like regression slide lot read master content,1,"Topic 2: content, slide, work, group",0.9715761625343455
25,Female,Group A,3.4545,negative,The journals and quizzes Doing physical cat 1 and cat 2 so that we don't have a lot to revise for the only cat we have,journal quiz physical cat cat lot revise cat,1,"Topic 2: content, slide, work, group",0.8990549275706118
26,Male,Group A,4.8182,positive,Continuous intelligence and Data collaboration 1. The variety of sodtware we learnt to use through practice. 2. The amount of practice enabled through various labs. The slides could be more organised to make it easier to go through,continuous intelligence data collaboration variety sodtware learnt use practice amount practice enabled various lab slide could organised make easier,3,"Topic 4: topic, lab, data, practical",0.9327645966347198
27,Female,Group A,3.5455,negative,none none I liked the practical labs; they encourgaed critical thinking and problem-solving. I appreciated the strict deadlines because they encouraged discipline and planning ahead I liked the reflective journals because they allowed me to recall and be honest with my understanding in the topics I have none,none none liked practical lab encourgaed critical thinking problem solving appreciated strict deadline encouraged discipline planning ahead liked reflective journal allowed recall honest understanding topic none,3,"Topic 4: topic, lab, data, practical",0.5487459172490663
28,Female,Group A,3.9091,neutral,"How practical it is in daily life and how it has expanded my knowledge especially on Investments and prediction analysis which is a field I want to pursue in my career. Moreover, the fact that there was material to refer to is a positive aspect of the lab which made doing practical assignments more manageable The content is quite vast... it probably should start in 3rd year because retaining all this knowledge in the span of 2 months... i.e BI 1 and BI 2 is a bit difficult and leads me to cram the content most of the time rather than try and understand it",practical daily life expanded knowledge especially investment prediction analysis field want pursue career moreover fact material refer positive aspect lab made practical assignment manageable content quite vast probably start year retaining knowledge span month bit difficult lead cram content time rather try understand,1,"Topic 2: content, slide, work, group",0.454551537119564
29,Female,Group A,4.4545,neutral,Continous intelligence The lecturer was very detail oriented and had immense knowledge on all the topics being covered. I enjoyed doing the labs since they gave me a better understanding of all the topics and how to work through all the applications and platforms. The lecture notes were very long. Reading for the CAT was very hard since all the concepts from business intelligence 1 and business intelligence 2 were put together,continous intelligence lecturer detail oriented immense knowledge topic covered enjoyed lab since gave better understanding topic work application platform lecture note long reading cat hard since concept business intelligence business intelligence put together,3,"Topic 4: topic, lab, data, practical",0.8353365570786958
30,Female,Group A,4.9091,positive,"I think that neural networks should be a topic on its own to be explored more in-depth. The course is very well structured and follows a logical flow from the BI 1 and BI 2. All steps outlined in KDD are covered throughout the course, and I have learnt a lot about data pipeline, pre-processing, training and deploying models. I think that every topic was explained in-depth, which helped me gain understanding about concepts that I would not have been able to achieve if I worked independently. I also enjoyed the lab tasks as they helped me understand the concepts more practically and enhanced the way I approached different problems. The lecturer is also very organised, in terms of both notes and assigning coursework, and knowledgeable, which I think enhanced the learning experience overall. In my opinion, more labs should be assigned to individuals (or slightly smaller groups) if possible. I think this will help learners in future classes be a little more independent and learn more from the labs.",think neural network topic explored depth course well structured follows logical flow step outlined kdd covered throughout course learnt lot data pipeline pre processing training deploying model think every topic explained depth helped gain understanding concept would able achieve worked independently also enjoyed lab task helped understand concept practically enhanced way approached different problem lecturer also organised term note assigning coursework knowledgeable think enhanced learning experience overall opinion lab assigned individual slightly smaller group possible think help learner future class little independent learn lab,4,"Topic 5: lab, module, work, depth",0.6912251456602915
31,Female,Group A,4.4545,neutral,"The modules made sense and there was a logical flow of ideas. I most especially enjoyed the Module on TIme series, Association Rule Mining and Natural Language Processing. In my opinion, when the lecturer is teaching he makes everything sound very important(i dont know if this makes sense, also not necessarily a negative thing) .I often end the class feeling overwhelmed and drained. I am not sure on what recommendations to give on this. In addition, I was having a hard time doing the lab work. I suggest that maybe more explanations during class on how to do the lab work and have an example.",module made sense logical flow idea especially enjoyed module time series association rule mining natural language processing opinion lecturer teaching make everything sound important dont know make sense also necessarily negative thing often end class feeling overwhelmed drained sure recommendation give addition hard time lab work suggest maybe explanation class lab work example,4,"Topic 5: lab, module, work, depth",0.9765780437440729
32,Female,Group A,4.5455,neutral,none all the topics are relevant it was engaging with the use of labs none,none topic relevant engaging use lab none,3,"Topic 4: topic, lab, data, practical",0.8653778602841544
33,Male,Group A,4.0909,neutral,1. The in depth lectures where the theory lessons translated into practical examples which were demonstrated through the labs. 2. Writing the reflective journals after each module helped solidify the concepts learnt Implementation of more catch up sessions where the lecturer guides us more through the labs,depth lecture theory lesson translated practical example demonstrated lab writing reflective journal module helped solidify concept learnt implementation catch session lecturer guide lab,4,"Topic 5: lab, module, work, depth",0.7374078387148864
34,Male,Group A,4.5455,neutral,THe R stack none The labs and projects really help me grasp the content The lecturer is very patient and understanding More Labs,stack none lab project really help grasp content lecturer patient understanding lab,3,"Topic 4: topic, lab, data, practical",0.5679441075113956
35,Female,Group A,4.7273,positive,1. I liked the supplementary videos in between the lecture slides that assisted me gain better understanding of the concepts. 2. The additional notes in the lecture slides helped explain the concepts better. 3. The slides were comprehensive. Cats to be uniform across all groups,liked supplementary video lecture slide assisted gain better understanding concept additional note lecture slide helped explain concept better slide comprehensive cat uniform across group,1,"Topic 2: content, slide, work, group",0.8528444975528569
36,Male,Group A,4.4545,neutral,"Data mining 1. The seamless flow between the different modules acted as building blocks for better understanding of the next module 2. The technical integration to every module learnt If the school could provide hardware with better specs , for the unit is labour intensive on the machinery",data mining seamless flow different module acted building block better understanding next module technical integration every module learnt school could provide hardware better spec unit labour intensive machinery,1,"Topic 2: content, slide, work, group",0.9491251796254114
38,Male,Group A,4.5455,neutral,"Not sure How applicable it is in real life Learning new things Before getting into BI, maybe a short course on frontend and backend since BI is very technical",sure applicable real life learning new thing getting maybe short course frontend backend since technical,4,"Topic 5: lab, module, work, depth",0.9186987417877546
39,Male,Group C,5.0,positive,"The history of Development apps for example like DataGrip. Why they originate and maintained from Europe - eg a Czech company. Education on Data theft and privacy issues, and The impacts on EU and US data policies. Hands on coding practice, Writing module reflections, Watching Assignments, Comprehensive Assessment. Giving more and more assignments, Inviting an Industry professional from a well known company whose shares are traded on the Nairobi Securities Exchange (NSE) in Kenya to give a talk.",history development apps example like datagrip originate maintained europe czech company education data theft privacy issue impact data policy hand coding practice writing module reflection watching assignment comprehensive assessment giving assignment inviting industry professional well known company whose share traded nairobi security exchange nse kenya give talk,3,"Topic 4: topic, lab, data, practical",0.9458118437308929
40,Female,Group C,5.0,positive,"I have no opinion/topic suggestion. I have no opinion/topic suggestion. The lecturer is nice and well-organized, he explains concepts well and is open to student opinions. In Business Intelligence II, I appreciated how the concept of quizzes, group work labs where everyone has to commit something and the reflective journals really enable one to think deeply about what you have learnt thus content retention. Early preparation that the labs in this unit require applications that are storage consuming.",opinion topic suggestion opinion topic suggestion lecturer nice well organized explains concept well open student opinion business intelligence appreciated concept quiz group work lab everyone commit something reflective journal really enable one think deeply learnt thus content retention early preparation lab unit require application storage consuming,3,"Topic 4: topic, lab, data, practical",0.88382933152271
41,Male,Group C,5.0,positive,None at the moment none at the moment The labs and the quizzes. More lab group work.,none moment none moment lab quiz lab group work,0,"Topic 1: lab, taught, assignment, concept",0.5262440785529883
42,Female,Group C,4.2727,neutral,- - Group works and quizzes -,group work quiz,1,"Topic 2: content, slide, work, group",0.7983440719053511
43,Female,Group C,4.0909,neutral,"It was thorough, and the course is interesting Less slides, 800 slides for one unit(BI 1) is overwhelming",thorough course interesting less slide slide one unit overwhelming,1,"Topic 2: content, slide, work, group",0.864780489996729
44,Male,Group C,4.2727,neutral,group and evaluation methords of teaching The notes are abit too many,group evaluation methords teaching note abit many,3,"Topic 4: topic, lab, data, practical",0.7962965113076166
45,Male,Group C,5.0,positive,"In my opinion, the Business Intelligence I and II curriculum could be enhanced by including more practical and emerging topics that reflect current trends in data-driven decision-making. For example: Data Visualization and Storytelling Tools – Hands-on training with tools like Power BI, Tableau, or Looker to help students communicate insights effectively. Big Data Analytics – Understanding how to process and analyze large-scale datasets using modern platforms like Hadoop or Spark. Machine Learning for Business Insights – Introducing predictive analytics, classification models, and AI integration for real-world business forecasting. Cloud-Based BI Solutions – Exposure to BI tools on AWS, Google Cloud, or Azure to understand how organizations are migrating analytics to the cloud. Data Governance and Ethics – Discussing data privacy, compliance (e.g., GDPR), and responsible use of business data. In my opinion, some of the basic theoretical or overly introductory topics could be reduced or removed from the Business Intelligence I and II curriculum to make room for more practical, hands-on learning. For example, the extended coverage of traditional database concepts (like basic SQL operations or data warehousing theory) could be shortened, since these are usually covered in earlier courses. 1.I liked how the course combined both theoretical and practical aspects of Business Intelligence, allowing me to understand concepts and then apply them in real-world scenarios. 2.The lecturer’s clarity and engagement made complex topics easier to grasp, and the use of practical exercises and class discussions helped reinforce understanding. 1.I recommend including more hands-on projects and case studies using real datasets and BI tools. This would help students better understand how Business Intelligence is applied in real business environments and strengthen their practical skills.",opinion business intelligence curriculum could enhanced including practical emerging topic reflect current trend data driven decision making example data visualization storytelling tool hand training tool like power tableau looker help student communicate insight effectively big data analytics understanding process analyze large scale datasets using modern platform like hadoop spark machine learning business insight introducing predictive analytics classification model integration real world business forecasting cloud based solution exposure tool aws google cloud azure understand organization migrating analytics cloud data governance ethic discussing data privacy compliance gdpr responsible use business data opinion basic theoretical overly introductory topic could reduced removed business intelligence curriculum make room practical hand learning example extended coverage traditional database concept like basic sql operation data warehousing theory could shortened since usually covered earlier course liked course combined theoretical practical aspect business intelligence allowing understand concept apply real world scenario lecturer clarity engagement made complex topic easier grasp use practical exercise class discussion helped reinforce understanding recommend including hand project case study using real datasets tool would help student better understand business intelligence applied real business environment strengthen practical skill,3,"Topic 4: topic, lab, data, practical",0.954730458385343
46,Female,Group C,5.0,positive,#NAME? None at the moment. Everything is okay so far.,name none moment everything okay far,1,"Topic 2: content, slide, work, group",0.48989184080191317
47,Male,Group C,3.7273,negative,"BI and Emerging technologies such as AI and blockchain The consistency was good from the lecturer which was engaging, the labs and groups work was useful To be taken to career industry and career talks",emerging technology blockchain consistency good lecturer engaging lab group work useful taken career industry career talk,0,"Topic 1: lab, taught, assignment, concept",0.9249646641288682
48,Female,Group C,4.7273,positive,"I think it's okay as it is All topics have been helpful I like the structure and how each module kind of builds on the previous. I enjoy the different learning methods i.e labs, quizzes and group work A known certification associated with the unit would be nice",think okay topic helpful like structure module kind build previous enjoy different learning method lab quiz group work known certification associated unit would nice,1,"Topic 2: content, slide, work, group",0.9456541583338037
49,Female,Group C,4.0,neutral,Good explanations of points Clear points Less slides on notes,good explanation point clear point less slide note,3,"Topic 4: topic, lab, data, practical",0.8643644525969425
50,Male,Group C,5.0,positive,The content is more than enough unless for further studies they are all useful the interaction with Git was really nice and learning about tools maybe shortening of slides,content enough unless study useful interaction git really nice learning tool maybe shortening slide,1,"Topic 2: content, slide, work, group",0.9186447474007154
51,Male,Group C,3.9091,neutral,more on python none it was very interactive and very well taught it is okay,python none interactive well taught okay,0,"Topic 1: lab, taught, assignment, concept",0.7966626744726742
52,Male,Group C,2.3636,negative,None. The content is already a lot quizes and practical assignments The knowledge provided in this Unit is unbelievably excess,none content already lot quiz practical assignment knowledge provided unit unbelievably excess,1,"Topic 2: content, slide, work, group",0.9099236269243085
53,Male,Group C,4.3636,neutral,The content satisfactory Getting hands on with the labs Getting to create and use the models Less bulky content,content satisfactory getting hand lab getting create use model less bulky content,1,"Topic 2: content, slide, work, group",0.48588655342213927
54,Male,Group C,4.3636,neutral,introduction to Kubernetes labs and the different levels and bonus marks break the units into smaller chuncks so that the slides are not so long .,introduction kubernetes lab different level bonus mark break unit smaller chuncks slide long,1,"Topic 2: content, slide, work, group",0.863466177307179
55,Male,Group C,4.2727,neutral,"the labs had notebooks where we could learn from, Real life applications The slides are too bulky making it discouraging to read",lab notebook could learn real life application slide bulky making discouraging read,3,"Topic 4: topic, lab, data, practical",0.9190834216213151
56,Male,Group C,2.9091,negative,"Timeliness, group work Less difficult cats",timeliness group work less difficult cat,1,"Topic 2: content, slide, work, group",0.8392135243331004
57,Male,Group C,5.0,positive,Learning more on postman How to predict stocks Visualization of data Using r studio,learning postman predict stock visualization data using studio,3,"Topic 4: topic, lab, data, practical",0.8656963020919416
58,Female,Group C,4.1818,neutral,"None, everything is okay Natural Language Processing The lab instructions The group works The practical examples used. The journals To reduce the content a bit",none everything okay natural language processing lab instruction group work practical example used journal reduce content bit,1,"Topic 2: content, slide, work, group",0.9413499820585877
59,Male,Group C,5.0,positive,More depth into Power BI Quizzes at the end of each module. Labs for each module. Some form of certification after completing the course.,depth power quiz end module lab module form certification completing course,4,"Topic 5: lab, module, work, depth",0.9188304611614094
60,Male,Group C,4.9091,positive,None in my opinion All are perfectly developed in the curriculum Participative class and involving labs Shorter documents as slides,none opinion perfectly developed curriculum participative class involving lab shorter document slide,3,"Topic 4: topic, lab, data, practical",0.8846468145809595
61,Female,Group C,4.8182,positive,"1. Practical Application of Concepts: I liked that the course didn’t just focus on theory but also emphasized hands-on learning. Using real-world datasets and BI tools allowed me to see how concepts like data visualization, dashboards, and reporting apply directly to business decision-making. 2.Interactive Learning Environment: I appreciated how the teaching encouraged interaction through discussions, case studies, and group projects. This approach helped me understand complex topics like data analytics, predictive modeling, and KPIs more effectively because I could learn from both the lecturer and my peers.",practical application concept liked course focus theory also emphasized hand learning using real world datasets tool allowed see concept like data visualization dashboard reporting apply directly business decision making interactive learning environment appreciated teaching encouraged interaction discussion case study group project approach helped understand complex topic like data analytics predictive modeling kpis effectively could learn lecturer peer,3,"Topic 4: topic, lab, data, practical",0.9011416025346974
62,Female,Group C,4.5455,neutral,It's okay The group works The content Please the notes are alot and if it's a sitin cat if alot is covered kindly consider open book cats.,okay group work content please note alot sitin cat alot covered kindly consider open book cat,1,"Topic 2: content, slide, work, group",0.9106786585780979
63,Male,Group C,4.7273,positive,The ones that are there are already enough It is very practical. Every topic had a lab. There is so much content in this unit as a whole and the theory becomes hard to grasp,one already enough practical every topic lab much content unit whole theory becomes hard grasp,1,"Topic 2: content, slide, work, group",0.6037915057887069
64,Female,Group C,4.6364,positive,None. The topics that are already there are quite exhaustive and cover pretty much what I thought entailed BI Regression and classification. The module was quite hard to understand especially the different types of Regression models The material was delivered well. Like even though some topics were quite hard to understand the lecturer explained the content well without assuming we knew stuff. The assignments given were good. Like they were comprehensive enough buy not too stressful to do The answers for the quiz should be provided after like we've done them for revision purposes,none topic already quite exhaustive cover pretty much thought entailed regression classification module quite hard understand especially different type regression model material delivered well like even though topic quite hard understand lecturer explained content well without assuming knew stuff assignment given good like comprehensive enough buy stressful answer quiz provided like done revision purpose,1,"Topic 2: content, slide, work, group",0.838879906404363
65,Male,Group C,4.7273,positive,It was more of practical than theory To reduce the contents of the notes the pages are too much,practical theory reduce content note page much,1,"Topic 2: content, slide, work, group",0.863632137412272
66,Male,Group C,4.0,neutral,"data governance none , i think all topics are appropriate to this level The labs were engaging The classes were lively take away assignments",data governance none think topic appropriate level lab engaging class lively take away assignment,3,"Topic 4: topic, lab, data, practical",0.9188220320592985
67,Male,Group C,4.0909,neutral,I am content Null It was vast and informative It exposed me to very interesting knowledge Less slides,content null vast informative exposed interesting knowledge less slide,1,"Topic 2: content, slide, work, group",0.8396176997189636
68,Male,Group C,4.2727,neutral,Interactive and Engaging,interactive engaging,0,"Topic 1: lab, taught, assignment, concept",0.7320938982134005
69,Female,Group C,4.6364,positive,I feeel like databases and any information concerning databases none I liked that it was more practical it keeps the unit interesting other than learning theory online I liked that the lecturer had a lot of course work for us that will help boost our grades I feel like for this unit it should be held in parts of the school where the WIFI is stable,feeel like database information concerning database none liked practical keep unit interesting learning theory online liked lecturer lot course work help boost grade feel like unit held part school wifi stable,3,"Topic 4: topic, lab, data, practical",0.7112925735453605
70,Male,Group C,4.6364,positive,"I think the course exceeded my expectations and I'm really happy with the topics None in my opinion I loved that most of these concepts were tied down to a real world application I also liked that the lecturer created pre-designed labs to help us understand a concept, before attempting it on our own Breaking down of topics with many slides will help. I think the brain gets drained when we see very many slides on one topic alone",think course exceeded expectation really happy topic none opinion loved concept tied real world application also liked lecturer created pre designed lab help understand concept attempting breaking topic many slide help think brain get drained see many slide one topic alone,3,"Topic 4: topic, lab, data, practical",0.7889627066244235
71,Male,Group C,4.6364,positive,"More labs for Power BI in regard to using DAX Functions and quick measure, Power Query + scripting module, which would be a useful dashboarding skill for aspiring data analysts. More lab explanations on Docker and its practical implementation, with the use of LLMs. Heavy OLAP cube design (multi-week focus on MOLAP/ROLAP) and Deep theoretical proofs in data warehousing (formal normalisation proofs, algorithmic complexity proofs) and technologies like Apache Kafka. Clear and structured presentation of complex information, making it easier to understand key concepts and data. More Interactive classes with an emphasis on visual aids to explain complex topics, e.g., videos, Case studies, and real-life applications of the technologies and tools, and their relevance. Practical focus on real-world applications and strategic insights, which helps connect theory to actionable outcomes.",lab power regard using dax function quick measure power query scripting module would useful dashboarding skill aspiring data analyst lab explanation docker practical implementation use llm heavy olap cube design multi week focus molap rolap deep theoretical proof data warehousing formal normalisation proof algorithmic complexity proof technology like apache kafka clear structured presentation complex information making easier understand key concept data interactive class emphasis visual aid explain complex topic video case study real life application technology tool relevance practical focus real world application strategic insight help connect theory actionable outcome,3,"Topic 4: topic, lab, data, practical",0.953854233237917
72,Female,Group C,4.4545,neutral,"I think I'm satisfied with the curriculum The videos we watched explaining how some of the concepts we learn are implemented in the real world I also liked the topic on time series forecasting, and the use case we focused on: the stock market. For topics with large content, it would be better to break down the slides. Reading notes from more than 200 slides can be daunting mentally.",think satisfied curriculum video watched explaining concept learn implemented real world also liked topic time series forecasting use case focused stock market topic large content would better break slide reading note slide daunting mentally,3,"Topic 4: topic, lab, data, practical",0.9699222995596324
73,Male,Group C,4.5455,neutral,Data Science if it were to be condensed into a singular topic 1. The lecturer was quite graceful in explaining different topics and the required lab work. 2. The lab work was a bit hectic. Trying to go through each module while simultaneously covering theoretical practices was difficult. Lab submissions should be made a little easier for the next groups.,data science condensed singular topic lecturer quite graceful explaining different topic required lab work lab work bit hectic trying module simultaneously covering theoretical practice difficult lab submission made little easier next group,3,"Topic 4: topic, lab, data, practical",0.593174968085058
74,Female,Group C,4.0909,neutral,I liked that the lecturer would stop during the lecture and ask questions to the students. I also liked that we had quizzes at the end of each module.,liked lecturer would stop lecture ask question student also liked quiz end module,3,"Topic 4: topic, lab, data, practical",0.8442893822233287
75,Male,Group C,4.0,neutral,"A separate application topic that links all the topics to real life jobs, rather than the end of every topic or in-between.Should not be examinable but should give the learner a more focused topic on how a topic can be used outside learning (reducing forgetfulness) 1. Having the online class as the teaching class and the physical class as the practical class. (Helps enhanced understanding since any problem would be instantly helped and you usually repeat what you said in the online class as you show it practically) 2. The labs were a good source of understanding Less slides, a manageable amount for reading for exams should probably be released at the end of the semester",separate application topic link topic real life job rather end every topic examinable give learner focused topic topic used outside learning reducing forgetfulness online class teaching class physical class practical class help enhanced understanding since problem would instantly helped usually repeat said online class show practically lab good source understanding less slide manageable amount reading exam probably released end semester,3,"Topic 4: topic, lab, data, practical",0.9787503156330876
76,Male,Group C,3.0,negative,None in mind None in mind The lab exposure None to comment,none mind none mind lab exposure none comment,2,"Topic 3: concept, understand, lecturer, lab",0.7993642468987995
77,Male,Group A,4.2727,neutral,"Automation, Cybersecurity, ethics, data privacy, Convolutional neural network, Machine Learning, Penetration Testing Relational Database, Non relational Database The Quizs, The Coding part Reduce the Notes Pleaaseeee!!!!! A lot of Content you can imagine 200-300 slides to read, this is a bit much Also To Teach us how code or explain the Lab submission Requirement",automation cybersecurity ethic data privacy convolutional neural network machine learning penetration testing relational database non relational database quiz coding part reduce note pleaaseeee lot content imagine slide read bit much also teach code explain lab submission requirement,1,"Topic 2: content, slide, work, group",0.9614346108221631
78,Male,Group C,5.0,positive,"Advanced Querying and Data Modeling Hands-on, Practical Learning, Clear Guidance and Structured Content Include more real-world case studies or industry-based projects",advanced querying data modeling hand practical learning clear guidance structured content include real world case study industry based project,3,"Topic 4: topic, lab, data, practical",0.9459204966783712
79,Female,Group C,3.5455,negative,"Not any I know of None, all seem relevant for now I liked the group work and the github collaborations for lab assignment The number of slides tends to feel very overhwhelming.",know none seem relevant liked group work github collaboration lab assignment number slide tends feel overhwhelming,3,"Topic 4: topic, lab, data, practical",0.7069629165108432
80,Female,Group C,4.0,neutral,None from me The curriculum is okay Group work and assignments None from me,none curriculum okay group work assignment none,1,"Topic 2: content, slide, work, group",0.8647360096511576
